"","Casualty.Class","Casualty.Severity","Type.of.Vehicle","Weather.Conditions","Age.of.Casualty","missing"
"328",3,1,11,2,49,1
"329",1,3,1,1,38,1
"330",1,2,9,1,72,1
"331",2,3,9,1,74,1
"332",1,3,9,1,88,1
"333",1,2,9,1,31,1
"334",3,3,9,1,9,1
"335",1,2,9,1,24,1
"336",1,3,9,1,28,1
"337",3,3,8,1,27,1
"338",1,3,9,1,87,1
"339",1,3,9,1,23,1
"340",3,3,9,2,65,1
"341",1,3,1,2,24,1
"342",1,3,3,1,26,1
"343",1,3,9,1,82,1
"344",1,3,21,1,32,1
"345",1,3,9,2,25,1
"346",3,3,9,1,34,1
"347",3,3,19,1,36,1
"348",1,2,2,1,27,1
"349",1,3,9,1,63,1
"350",1,1,1,1,55,1
"351",3,2,21,1,87,1
"352",1,3,9,1,29,1
"353",3,3,9,1,60,1
"354",2,3,8,3,29,1
"355",1,3,9,3,18,1
"356",1,2,90,1,33,1
"357",1,3,9,9,23,1
"358",3,3,9,1,33,1
"359",2,3,8,1,16,1
"360",2,3,8,1,11,1
"361",2,3,8,1,12,1
"362",1,3,9,1,47,1
"363",2,3,9,1,30,1
"364",3,3,9,1,25,1
"365",3,3,9,5,49,1
"366",1,3,3,5,27,1
"367",1,3,9,9,20,1
"368",3,3,9,9,66,1
"369",2,3,9,6,31,1
"370",3,3,9,1,16,1
"371",1,3,9,1,55,1
"372",3,3,9,9,5,1
"373",1,3,9,5,55,1
"374",1,3,9,9,55,1
"375",1,3,1,2,55,1
"376",1,3,3,1,19,1
"377",1,2,9,1,54,1
"378",3,3,9,9,50,1
"379",1,3,9,1,21,1
"380",2,3,9,1,26,1
"381",3,3,9,1,13,1
"382",1,3,19,1,74,1
"383",1,3,9,2,18,1
"384",2,3,9,1,26,1
"385",1,3,9,1,37,1
"386",2,3,9,1,36,1
"387",1,3,9,1,34,1
"388",1,3,1,2,24,1
"389",1,3,9,2,33,1
"390",1,2,9,1,46,1
"391",1,3,9,2,32,1
"392",1,3,8,1,36,1
"393",1,2,9,1,19,1
"394",1,3,9,5,30,1
"395",1,3,9,1,41,1
"396",2,3,9,1,60,1
"397",2,3,9,1,7,1
"398",2,3,9,1,9,1
"399",1,3,9,1,44,1
"400",1,2,5,1,41,1
"401",3,3,9,1,29,1
"402",1,3,1,1,45,1
"403",1,3,9,1,35,1
"404",3,3,9,1,29,1
"405",3,3,9,1,3,1
"406",1,3,9,1,41,1
"407",1,3,9,1,37,0
"408",1,3,9,1,19,1
"409",2,3,9,1,70,1
"410",2,3,9,1,18,1
"411",1,3,9,1,55,1
"412",1,3,9,1,19,1
"413",2,2,9,1,23,1
"414",1,3,5,1,51,1
"415",2,2,9,2,4,1
"416",1,3,9,2,23,1
"417",1,3,9,2,53,1
"418",2,3,9,2,11,1
"419",2,3,9,2,52,1
"420",2,3,9,2,12,1
