"","Casualty.Class","Casualty.Severity","Type.of.Vehicle","Weather.Conditions","Age.of.Casualty","missing"
"1790",3,3,9,1,49,1
"1791",1,3,9,1,63,1
"1792",1,3,9,1,47,1
"1793",1,3,9,1,19,1
"1794",2,3,9,1,19,1
"1795",1,3,9,1,70,1
"1796",3,3,9,1,13,1
"1797",3,3,20,1,89,1
"1798",1,3,9,1,29,1
"1799",2,3,9,1,29,1
"1800",1,3,1,1,41,1
"1801",1,3,19,1,29,1
"1802",1,3,9,1,69,1
"1803",1,3,1,1,46,1
"1804",1,3,5,1,44,1
"1805",2,3,5,1,43,1
"1806",1,3,9,1,37,1
"1807",2,3,9,1,34,1
"1808",3,3,9,1,8,1
"1809",1,2,1,1,28,1
"1810",2,3,9,2,6,1
"1811",1,3,1,1,47,1
"1812",3,2,9,1,4,1
"1813",3,3,9,1,15,1
"1814",1,3,2,1,17,1
"1815",3,3,9,1,1,1
"1816",1,3,9,1,31,1
"1817",2,2,9,1,30,1
"1818",2,3,8,1,15,1
"1819",1,2,3,1,46,1
"1820",2,3,8,1,16,1
"1821",1,3,9,1,41,1
"1822",1,3,9,1,54,1
"1823",1,3,1,1,15,1
"1824",1,2,2,2,60,1
"1825",1,3,9,1,21,1
"1826",2,3,9,1,30,1
"1827",1,3,9,1,25,1
"1828",1,3,9,1,38,1
"1829",2,3,9,1,15,1
"1830",1,3,19,1,48,1
"1831",1,3,1,1,82,1
"1832",1,3,90,2,51,1
"1833",1,3,9,1,39,1
"1834",1,3,9,1,26,1
"1835",1,3,1,2,49,1
"1836",1,3,3,1,31,1
"1837",1,2,1,1,39,1
"1838",1,2,9,2,34,1
"1839",3,3,9,1,33,1
"1840",2,3,9,1,25,1
"1841",1,3,9,2,29,1
"1842",2,3,9,2,24,1
"1843",2,3,9,1,21,1
"1844",2,3,9,1,13,1
"1845",1,3,9,1,25,1
"1846",1,3,19,1,53,1
"1847",1,3,9,1,54,1
"1848",1,3,9,1,42,1
"1849",3,3,9,1,19,1
"1850",1,3,90,1,66,1
"1851",3,3,9,1,53,1
"1852",1,3,9,1,55,1
"1853",1,2,1,1,45,1
"1854",2,3,9,1,6,1
"1855",3,3,9,1,10,1
"1856",2,3,9,1,12,1
"1857",2,3,9,1,11,1
"1858",1,3,9,1,25,1
"1859",2,3,9,1,38,1
"1860",2,3,8,1,43,1
"1861",2,2,8,1,40,1
"1862",1,2,8,1,54,1
"1863",3,3,9,1,78,1
"1864",1,3,9,1,24,1
"1865",3,2,11,1,45,1
"1866",1,3,9,1,40,1
"1867",2,3,9,1,9,1
"1868",3,3,9,1,36,1
"1869",1,2,3,3,26,1
"1870",1,3,1,1,54,1
"1871",2,3,9,1,6,1
"1872",1,3,1,1,21,1
"1873",2,3,9,1,52,1
"1874",1,2,9,1,79,1
"1875",2,2,9,1,78,1
"1876",1,3,9,1,51,1
"1877",3,3,9,1,11,1
"1878",1,3,9,1,29,1
"1879",3,2,9,1,2,1
"1880",1,3,9,1,66,1
"1881",1,2,1,1,48,1
"1882",2,3,9,1,60,1
"1883",1,3,9,1,28,1
"1884",1,3,9,1,20,1
"1885",1,3,9,1,64,1
"1886",1,3,21,1,42,1
"1887",1,3,9,1,39,1
"1888",1,3,9,1,19,1
"1889",2,3,9,1,24,1
"1890",2,3,9,1,41,1
"1891",2,3,9,1,17,1
"1892",3,3,9,1,57,1
"1893",1,3,1,1,35,1
"1894",1,2,1,1,57,1
"1895",1,2,19,1,43,1
"1896",2,3,5,1,25,1
"1897",1,2,5,1,22,1
"1898",1,3,1,1,12,1
"1899",3,3,9,1,43,1
"1900",3,3,9,2,10,1
"1901",1,3,9,7,17,1
"1902",1,3,9,7,62,1
"1903",1,3,4,7,41,1
"1904",1,3,9,2,43,1
"1905",1,3,9,2,63,1
"1906",3,3,9,1,6,1
"1907",1,3,9,5,41,1
"1908",1,3,9,1,32,1
"1909",2,3,9,1,30,1
"1910",3,2,11,1,12,1
"1911",3,3,9,1,11,1
"1912",1,3,9,1,41,1
"1913",3,3,9,1,33,1
"1914",1,3,5,1,21,1
"1915",1,3,9,1,23,1
"1916",2,3,9,2,14,1
"1917",2,3,9,2,16,1
"1918",3,2,9,1,4,1
"1919",3,2,9,1,8,1
"1920",1,3,1,1,23,1
"1921",1,3,9,1,21,1
"1922",1,3,3,5,18,1
"1923",1,3,9,1,27,1
"1924",3,1,9,1,63,1
"1925",1,3,1,1,25,1
"1926",1,3,9,1,33,1
"1927",1,3,9,1,49,1
"1928",2,3,9,1,62,1
"1929",1,3,9,1,56,1
"1930",1,3,9,1,23,1
"1931",1,2,9,1,22,1
"1932",1,2,2,1,17,1
"1933",1,3,9,1,31,1
"1934",2,3,9,1,41,1
"1935",2,3,9,1,34,1
"1936",1,3,9,1,72,1
"1937",1,3,1,1,49,1
"1938",2,2,19,1,53,1
"1939",2,3,19,1,25,1
"1940",1,3,19,1,48,1
"1941",3,3,9,1,57,1
"1942",1,3,9,1,19,1
"1943",2,3,9,1,21,1
"1944",1,3,9,1,37,1
"1945",2,3,9,1,60,1
"1946",1,3,3,1,18,1
"1947",1,2,9,1,21,1
"1948",2,3,9,1,22,1
"1949",1,3,1,1,40,1
"1950",1,3,2,1,33,1
"1951",3,3,9,1,11,1
"1952",1,3,9,2,19,1
"1953",1,3,9,2,58,1
"1954",2,3,9,2,14,1
"1955",1,3,9,1,37,1
"1956",1,3,2,1,18,1
"1957",3,3,9,1,67,1
"1958",3,3,9,1,46,1
"1959",2,3,9,1,7,1
"1960",2,3,9,1,21,1
"1961",2,3,9,1,2,1
"1962",2,3,9,1,32,1
"1963",1,3,9,1,42,1
"1964",2,3,9,1,20,1
"1965",2,2,9,1,11,1
"1966",1,3,9,1,43,1
"1967",1,3,9,2,31,1
"1968",1,3,9,1,48,1
"1969",2,3,9,1,17,1
"1970",1,3,5,1,43,1
"1971",1,3,1,1,27,1
"1972",1,3,9,1,22,1
"1973",2,3,9,1,36,1
"1974",1,3,9,1,78,1
"1975",1,3,9,1,77,1
"1976",2,3,9,1,70,1
"1977",1,3,9,1,21,1
"1978",1,3,9,1,30,1
"1979",2,3,8,1,28,1
"1980",2,3,9,1,24,1
"1981",2,3,8,1,26,1
"1982",1,2,3,2,18,1
"1983",1,3,9,1,34,1
"1984",1,3,5,2,22,1
"1985",2,3,9,1,19,1
"1986",1,3,9,1,18,1
"1987",1,2,9,1,20,1
"1988",3,3,9,1,30,1
"1989",1,3,4,9,34,1
"1990",1,3,9,1,20,1
"1991",1,3,9,1,22,1
"1992",3,3,19,1,89,1
"1993",3,3,19,1,90,1
"1994",3,2,9,7,19,1
"1995",2,3,9,7,26,1
"1996",2,3,9,7,23,1
"1997",2,3,9,7,48,1
"1998",1,3,9,7,42,1
"1999",1,3,19,7,55,1
"2000",1,3,9,7,55,1
"2001",1,3,8,7,59,1
"2002",2,3,9,2,42,1
"2003",2,3,9,2,20,1
"2004",2,3,9,2,18,1
"2005",1,3,9,1,78,1
"2006",1,3,9,1,59,1
"2007",1,2,5,1,34,1
"2008",1,3,5,1,38,1
"2009",3,3,21,1,60,1
"2010",3,2,11,1,67,1
"2011",3,2,9,1,79,1
"2012",3,3,9,1,38,1
"2013",1,3,9,1,75,1
"2014",2,3,9,1,75,1
"2015",3,2,9,1,20,1
"2016",1,2,5,1,25,1
"2017",1,2,20,5,32,1
"2018",1,2,1,5,44,1
"2019",1,3,9,2,29,1
"2020",1,3,9,2,46,1
"2021",1,3,9,2,29,1
"2022",3,2,4,2,80,1
"2023",2,3,4,2,41,1
"2024",1,3,9,2,28,1
"2025",3,2,19,1,58,1
"2026",1,2,1,1,36,1
"2027",1,3,9,5,19,1
"2028",1,3,9,5,44,1
"2029",2,3,9,5,32,1
"2030",2,3,9,5,19,1
"2031",1,3,3,2,24,1
"2032",1,3,3,2,22,1
"2033",1,3,3,2,31,1
"2034",1,3,9,2,57,1
"2035",1,3,9,2,24,1
"2036",1,3,9,5,23,1
"2037",3,3,9,5,26,1
"2038",1,3,11,5,44,1
"2039",1,3,9,2,30,1
"2040",3,3,9,2,10,1
"2041",1,3,21,2,37,1
"2042",1,3,9,4,34,1
"2043",1,3,9,1,32,1
"2044",3,3,9,5,68,1
"2045",1,3,9,5,74,1
"2046",2,3,9,5,81,1
"2047",1,3,9,1,64,1
"2048",1,3,8,2,42,1
"2049",2,3,8,2,56,1
"2050",2,3,8,2,53,1
"2051",1,3,9,1,25,1
"2052",2,3,9,1,24,1
"2053",2,3,9,1,21,1
"2054",1,3,9,1,52,1
"2055",2,3,9,1,66,1
"2056",1,3,9,1,21,1
"2057",2,3,9,1,21,1
"2058",2,3,9,1,21,1
"2059",1,3,9,3,32,1
"2060",2,3,9,1,24,1
"2061",2,3,9,1,25,1
"2062",1,3,9,1,29,1
"2063",3,3,9,9,53,1
"2064",1,3,9,1,36,1
"2065",1,3,9,1,39,1
"2066",1,3,9,1,25,1
"2067",3,3,9,1,5,1
"2068",1,2,9,1,34,1
"2069",2,2,9,1,34,1
